INFO   08:43:00 : Id:315180533306; 频点:492079953Hz; 功率:16.00dbm; 时钟周期:1000000.2660us; 发送电流:61.23mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:43:12 : Id:315180533447; 频点:492080007Hz; 功率:16.40dbm; 时钟周期:1000001.2000us; 发送电流:61.40mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:43:24 : Id:315180533087; 频点:492079993Hz; 功率:16.30dbm; 时钟周期:1000001.1330us; 发送电流:62.68mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:43:34 : Id:315180533365; 频点:492079925Hz; 功率:16.43dbm; 时钟周期:1000000.5000us; 发送电流:62.73mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:43:44 : Id:315180533170; 频点:492079997Hz; 功率:16.50dbm; 时钟周期:1000001.5330us; 发送电流:62.18mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:43:55 : Id:315180532848; 频点:172445082Hz; 功率:-3.73dbm; 时钟周期:0.0000us; 发送电流:25.90mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:44:04 : Id:315180532848; 频点:492080058Hz; 功率:16.30dbm; 时钟周期:1000002.3660us; 发送电流:63.29mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:44:15 : Id:315180533090; 频点:492080018Hz; 功率:16.17dbm; 时钟周期:1000000.7660us; 发送电流:63.02mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:44:26 : Id:315180533074; 频点:492080092Hz; 功率:16.50dbm; 时钟周期:1000000.3000us; 发送电流:62.36mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:44:36 : Id:315180533300; 频点:492079981Hz; 功率:16.20dbm; 时钟周期:1000001.3330us; 发送电流:61.15mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:44:47 : Id:315180533302; 频点:492079877Hz; 功率:16.20dbm; 时钟周期:1000001.8660us; 发送电流:61.73mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:44:57 : Id:315180533239; 频点:492079965Hz; 功率:16.40dbm; 时钟周期:1000002.2660us; 发送电流:62.45mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:45:07 : Id:315180532796; 频点:492080049Hz; 功率:16.30dbm; 时钟周期:1000000.7330us; 发送电流:60.94mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:45:17 : Id:315180533080; 频点:492079988Hz; 功率:16.50dbm; 时钟周期:1000001.1330us; 发送电流:64.18mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:45:28 : Id:315180533319; 频点:492080018Hz; 功率:16.40dbm; 时钟周期:1000001.7330us; 发送电流:62.84mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:45:39 : Id:315180533165; 频点:492079963Hz; 功率:16.20dbm; 时钟周期:1000000.7660us; 发送电流:61.20mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:45:49 : Id:315180533272; 频点:492079993Hz; 功率:16.30dbm; 时钟周期:1000001.0660us; 发送电流:61.91mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:03 : Id:315180533441; 频点:492079907Hz; 功率:16.20dbm; 时钟周期:1000001.4660us; 发送电流:62.10mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:15 : Id:315180533446; 频点:492079993Hz; 功率:16.30dbm; 时钟周期:1000002.0000us; 发送电流:61.58mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:28 : Id:315180533231; 频点:492080058Hz; 功率:16.30dbm; 时钟周期:1000000.8660us; 发送电流:62.25mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:50 : Id:315180533432; 频点:492079983Hz; 功率:15.80dbm; 时钟周期:1000000.7330us; 发送电流:62.25mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:01 : Id:315180533222; 频点:492079984Hz; 功率:16.30dbm; 时钟周期:1000000.9660us; 发送电流:61.18mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:37 : Id:315180533229; 频点:492079936Hz; 功率:16.30dbm; 时钟周期:1000000.6660us; 发送电流:62.63mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:48 : Id:315180533180; 频点:492079995Hz; 功率:16.20dbm; 时钟周期:1000000.7330us; 发送电流:61.58mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:59 : Id:315180533345; 频点:492079984Hz; 功率:16.30dbm; 时钟周期:1000001.0330us; 发送电流:62.35mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:11 : Id:315180533085; 频点:492079925Hz; 功率:16.30dbm; 时钟周期:1000000.2660us; 发送电流:61.20mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:22 : Id:315180533268; 频点:492079940Hz; 功率:16.30dbm; 时钟周期:1000001.9330us; 发送电流:62.25mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:32 : Id:315180533257; 频点:492080038Hz; 功率:15.50dbm; 时钟周期:1000001.7330us; 发送电流:61.15mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:43 : Id:315180533262; 频点:492079991Hz; 功率:16.40dbm; 时钟周期:1000002.1330us; 发送电流:61.89mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:54 : Id:315180533251; 频点:492079964Hz; 功率:16.20dbm; 时钟周期:1000001.8660us; 发送电流:62.49mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:07 : Id:315180533442; 频点:492079955Hz; 功率:15.90dbm; 时钟周期:1000001.0330us; 发送电流:61.85mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:17 : Id:315180533434; 频点:492080007Hz; 功率:16.20dbm; 时钟周期:1000000.8660us; 发送电流:62.53mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:28 : Id:315180533424; 频点:492079994Hz; 功率:16.40dbm; 时钟周期:1000002.0000us; 发送电流:61.91mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:39 : Id:315180533429; 频点:492080074Hz; 功率:16.20dbm; 时钟周期:1000001.8660us; 发送电流:61.32mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:49 : Id:315180533384; 频点:492079921Hz; 功率:16.30dbm; 时钟周期:1000000.9660us; 发送电流:62.69mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:02 : Id:315180533398; 频点:492079981Hz; 功率:16.10dbm; 时钟周期:1000001.0660us; 发送电流:61.97mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:12 : Id:315180533428; 频点:492079960Hz; 功率:16.13dbm; 时钟周期:1000001.5000us; 发送电流:61.60mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:22 : Id:315180533475; 频点:492079996Hz; 功率:16.30dbm; 时钟周期:1000001.3330us; 发送电流:63.07mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:44 : Id:315180533404; 频点:492079944Hz; 功率:16.20dbm; 时钟周期:1000002.0660us; 发送电流:61.65mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:55 : Id:315180533479; 频点:492080041Hz; 功率:15.80dbm; 时钟周期:1000002.0000us; 发送电流:60.95mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:05 : Id:315180533437; 频点:492079964Hz; 功率:15.33dbm; 时钟周期:1000001.2660us; 发送电流:62.64mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:16 : Id:315180533417; 频点:492080029Hz; 功率:16.40dbm; 时钟周期:1000001.4660us; 发送电流:63.82mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:27 : Id:315180533418; 频点:492079994Hz; 功率:16.00dbm; 时钟周期:1000001.2000us; 发送电流:60.84mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:37 : Id:315180533409; 频点:492080013Hz; 功率:16.10dbm; 时钟周期:1000001.6660us; 发送电流:62.16mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:50 : Id:315180533416; 频点:492079959Hz; 功率:16.40dbm; 时钟周期:1000000.8000us; 发送电流:62.46mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:01 : Id:315180533423; 频点:492080003Hz; 功率:16.30dbm; 时钟周期:1000000.7660us; 发送电流:62.14mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:12 : Id:315180533425; 频点:492079987Hz; 功率:16.20dbm; 时钟周期:1000000.9330us; 发送电流:60.99mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:22 : Id:315180533477; 频点:492079979Hz; 功率:16.30dbm; 时钟周期:1000000.8000us; 发送电流:61.38mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:33 : Id:315180533287; 频点:492079912Hz; 功率:16.30dbm; 时钟周期:1000001.3000us; 发送电流:62.52mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:44 : Id:315180533348; 频点:492080009Hz; 功率:16.40dbm; 时钟周期:1000001.2660us; 发送电流:61.35mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:54 : Id:315180533394; 频点:492079927Hz; 功率:16.40dbm; 时钟周期:1000001.2000us; 发送电流:62.10mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:05 : Id:315180533419; 频点:492080025Hz; 功率:16.20dbm; 时钟周期:1000001.2660us; 发送电流:61.94mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
