INFO   08:51:36 : Id:315180537788; 频点:492080055Hz; 功率:15.70dbm; 时钟周期:1000001.1000us; 发送电流:60.80mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:53 : Id:315180537282; 频点:492080037Hz; 功率:16.20dbm; 时钟周期:1000001.4330us; 发送电流:61.83mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:06 : Id:315180537278; 频点:492080003Hz; 功率:16.30dbm; 时钟周期:1000001.2000us; 发送电流:69.01mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:36 : Id:315180537731; 频点:492079952Hz; 功率:13.03dbm; 时钟周期:1000001.2330us; 发送电流:62.56mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:52:49 : Id:315180537731; 频点:492079953Hz; 功率:15.23dbm; 时钟周期:1000001.1000us; 发送电流:60.47mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:12 : Id:315180537786; 频点:492080078Hz; 功率:15.70dbm; 时钟周期:1000001.4660us; 发送电流:66.89mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:29 : Id:315180537778; 频点:492080007Hz; 功率:13.40dbm; 时钟周期:1000000.9000us; 发送电流:64.35mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:53:41 : Id:315180537778; 频点:492080007Hz; 功率:16.20dbm; 时钟周期:1000000.7000us; 发送电流:62.12mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:57 : Id:315180537882; 频点:492080043Hz; 功率:16.10dbm; 时钟周期:1000001.6330us; 发送电流:62.31mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:14 : Id:315180537748; 频点:492080004Hz; 功率:15.33dbm; 时钟周期:1000001.5000us; 发送电流:61.91mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:30 : Id:315180537885; 频点:492079958Hz; 功率:15.50dbm; 时钟周期:1000001.0330us; 发送电流:60.96mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:46 : Id:315180537764; 频点:492079945Hz; 功率:15.80dbm; 时钟周期:1000001.3660us; 发送电流:61.53mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:04 : Id:315180537887; 频点:492079908Hz; 功率:15.90dbm; 时钟周期:1000000.8330us; 发送电流:61.20mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:33 : Id:315180537802; 频点:492080022Hz; 功率:16.20dbm; 时钟周期:1000000.8000us; 发送电流:61.82mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:05 : Id:315180537907; 频点:492080089Hz; 功率:16.20dbm; 时钟周期:1000000.8660us; 发送电流:61.20mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:21 : Id:315180537773; 频点:492080072Hz; 功率:16.10dbm; 时钟周期:1000001.7330us; 发送电流:61.33mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:57 : Id:315180537807; 频点:492080011Hz; 功率:16.40dbm; 时钟周期:1000001.2000us; 发送电流:62.29mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:16 : Id:315180537927; 频点:492080027Hz; 功率:16.30dbm; 时钟周期:1000000.7330us; 发送电流:61.53mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:36 : Id:315180537326; 频点:492079972Hz; 功率:16.20dbm; 时钟周期:1000001.5660us; 发送电流:61.64mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:05 : Id:315180537318; 频点:492080034Hz; 功率:16.10dbm; 时钟周期:1000002.5000us; 发送电流:61.87mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:33 : Id:315180537321; 频点:492080007Hz; 功率:16.40dbm; 时钟周期:1000001.6330us; 发送电流:61.93mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:50 : Id:315180537350; 频点:492079923Hz; 功率:16.20dbm; 时钟周期:1000001.8000us; 发送电流:61.19mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:59:09 : Id:315180537880; 频点:492079967Hz; 功率:16.20dbm; 时钟周期:1000000.3000us; 发送电流:61.77mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:59:23 : Id:315180537351; 频点:492080069Hz; 功率:15.80dbm; 时钟周期:1000001.5660us; 发送电流:60.62mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:59:35 : Id:315180537370; 频点:492079979Hz; 功率:16.30dbm; 时钟周期:1000002.0660us; 发送电流:63.39mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:03 : Id:315180537348; 频点:492079876Hz; 功率:16.30dbm; 时钟周期:1000002.0660us; 发送电流:62.69mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:17 : Id:315180537801; 频点:492079964Hz; 功率:16.30dbm; 时钟周期:1000001.4330us; 发送电流:63.20mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:31 : Id:315180537739; 频点:492080048Hz; 功率:15.90dbm; 时钟周期:1000001.4000us; 发送电流:61.35mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:46 : Id:315180537875; 频点:492080025Hz; 功率:16.20dbm; 时钟周期:1000001.3000us; 发送电流:61.51mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:01:00 : Id:315180537455; 频点:492080018Hz; 功率:15.80dbm; 时钟周期:1000000.9660us; 发送电流:60.53mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:01:13 : Id:315180537426; 频点:492080056Hz; 功率:16.10dbm; 时钟周期:1000001.6000us; 发送电流:60.96mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:01:25 : Id:315180537363; 频点:492079930Hz; 功率:16.00dbm; 时钟周期:1000001.3660us; 发送电流:61.10mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:01:54 : Id:315180537366; 频点:492079998Hz; 功率:16.10dbm; 时钟周期:1000002.0000us; 发送电流:61.54mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:02:32 : Id:315180537900; 频点:492080010Hz; 功率:16.70dbm; 时钟周期:1000001.6660us; 发送电流:67.31mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:02:47 : Id:315180537781; 频点:492079946Hz; 功率:16.40dbm; 时钟周期:1000000.8330us; 发送电流:62.81mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:00 : Id:315180537904; 频点:492079998Hz; 功率:16.00dbm; 时钟周期:1000001.4000us; 发送电流:62.37mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:15 : Id:315180537323; 频点:492080006Hz; 功率:16.00dbm; 时钟周期:1000001.3660us; 发送电流:62.34mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:29 : Id:315180537915; 频点:492080020Hz; 功率:16.20dbm; 时钟周期:1000000.4660us; 发送电流:62.32mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:41 : Id:315180537761; 频点:492079989Hz; 功率:16.00dbm; 时钟周期:1000001.0000us; 发送电流:60.82mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:59 : Id:315180537761; 频点:492079985Hz; 功率:16.10dbm; 时钟周期:1000001.3660us; 发送电流:60.68mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:04:15 : Id:315180537341; 频点:492079993Hz; 功率:16.30dbm; 时钟周期:1000002.3000us; 发送电流:62.67mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:04:30 : Id:315180537736; 频点:492080082Hz; 功率:16.00dbm; 时钟周期:1000002.0000us; 发送电流:61.62mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:04:43 : Id:315180537365; 频点:492080077Hz; 功率:16.40dbm; 时钟周期:1000002.5330us; 发送电流:63.31mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:04:56 : Id:315180537325; 频点:492079974Hz; 功率:16.20dbm; 时钟周期:1000001.9330us; 发送电流:63.11mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:05:11 : Id:315180537322; 频点:492079965Hz; 功率:16.20dbm; 时钟周期:1000001.5660us; 发送电流:61.50mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:05:25 : Id:315180537458; 频点:492080029Hz; 功率:15.80dbm; 时钟周期:1000001.7330us; 发送电流:61.42mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:05:44 : Id:315180537335; 频点:492079997Hz; 功率:16.50dbm; 时钟周期:1000001.4000us; 发送电流:62.32mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:05:57 : Id:315180537450; 频点:492079979Hz; 功率:16.30dbm; 时钟周期:1000001.2660us; 发送电流:62.25mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:06:10 : Id:315180537428; 频点:492079921Hz; 功率:15.80dbm; 时钟周期:1000001.4330us; 发送电流:62.84mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:06:38 : Id:315180537355; 频点:492079949Hz; 功率:16.30dbm; 时钟周期:1000001.3660us; 发送电流:61.70mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:06:54 : Id:315180537345; 频点:492079997Hz; 功率:16.10dbm; 时钟周期:1000000.8330us; 发送电流:61.10mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:07:07 : Id:315180537367; 频点:492079869Hz; 功率:16.13dbm; 时钟周期:1000001.6000us; 发送电流:62.97mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:07:30 : Id:315180537320; 频点:492079956Hz; 功率:15.97dbm; 时钟周期:1000002.4660us; 发送电流:60.98mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:07:44 : Id:315180537343; 频点:492080025Hz; 功率:15.87dbm; 时钟周期:1000001.1660us; 发送电流:62.89mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:08:02 : Id:315180537408; 频点:492080042Hz; 功率:16.30dbm; 时钟周期:1000001.0660us; 发送电流:61.69mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:08:19 : Id:315180537403; 频点:492079987Hz; 功率:15.67dbm; 时钟周期:1000001.3660us; 发送电流:62.15mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:08:33 : Id:315180537398; 频点:492079979Hz; 功率:16.20dbm; 时钟周期:1000000.1330us; 发送电流:62.22mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:09:06 : Id:315180537434; 频点:492079997Hz; 功率:15.60dbm; 时钟周期:1000001.4330us; 发送电流:61.99mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:09:20 : Id:315180537419; 频点:492079968Hz; 功率:16.10dbm; 时钟周期:1000001.2000us; 发送电流:60.50mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:09:35 : Id:315180537424; 频点:492079988Hz; 功率:15.60dbm; 时钟周期:1000001.4660us; 发送电流:68.33mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:09:51 : Id:315180537453; 频点:492080047Hz; 功率:-25.47dbm; 时钟周期:0.0000us; 发送电流:22.25mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   09:10:03 : Id:315180537453; 频点:492080051Hz; 功率:16.20dbm; 时钟周期:1000001.8660us; 发送电流:61.87mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:10:19 : Id:315180537441; 频点:492079973Hz; 功率:15.90dbm; 时钟周期:1000000.3000us; 发送电流:61.48mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:10:32 : Id:315180537340; 频点:492080085Hz; 功率:15.70dbm; 时钟周期:1000000.8330us; 发送电流:62.58mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:10:45 : Id:315180537409; 频点:492079961Hz; 功率:16.00dbm; 时钟周期:1000001.8000us; 发送电流:62.36mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
