INFO   08:53:24 : Id:315180536511; 休眠电流:3.67uA; 接收电流:22.40mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:39 : Id:315180536578; 休眠电流:2.67uA; 接收电流:22.46mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:53 : Id:315180536662; 休眠电流:3.00uA; 接收电流:22.45mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:08 : Id:315180536118; 休眠电流:3.00uA; 接收电流:22.48mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:28 : Id:315180536373; 休眠电流:3.00uA; 接收电流:22.70mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:48 : Id:315180536214; 休眠电流:3.00uA; 接收电流:22.63mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:04 : Id:315180536330; 休眠电流:3.67uA; 接收电流:22.38mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:23 : Id:315180537416; 休眠电流:3.00uA; 接收电流:22.86mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:37 : Id:315180536658; 休眠电流:3.33uA; 接收电流:22.84mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:57 : Id:315180536644; 休眠电流:3.00uA; 接收电流:22.46mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:17 : Id:315180536354; 休眠电流:3.00uA; 接收电流:22.48mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:32 : Id:315180537298; 休眠电流:3.67uA; 接收电流:22.52mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:46 : Id:315180536701; 休眠电流:3.33uA; 接收电流:22.45mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:01 : Id:315180536328; 休眠电流:3.00uA; 接收电流:22.07mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:16 : Id:315180536363; 休眠电流:3.67uA; 接收电流:22.41mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:43 : Id:315180532710; 休眠电流:0.00uA; 接收电流:22.62mA; 电压:3.33V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:58:05 : Id:315180536140; 休眠电流:4.00uA; 接收电流:22.66mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:28 : Id:315180533416; 休眠电流:3.00uA; 接收电流:22.34mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:56 : Id:315180532433; 休眠电流:3.00uA; 接收电流:22.67mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:59:12 : Id:315180533273; 休眠电流:3.67uA; 接收电流:22.27mA; 电压:3.36V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:59:27 : Id:315180532487; 休眠电流:3.33uA; 接收电流:22.18mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:59:41 : Id:315180531738; 休眠电流:3.00uA; 接收电流:22.27mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:01 : Id:315180533458; 休眠电流:3.33uA; 接收电流:22.53mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:16 : Id:315180536200; 休眠电流:4.00uA; 接收电流:22.49mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:30 : Id:315180534443; 休眠电流:0.00uA; 接收电流:0.00mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   09:00:42 : Id:315180534443; 休眠电流:3.00uA; 接收电流:22.56mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:58 : Id:315180536668; 休眠电流:3.00uA; 接收电流:22.52mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:01:12 : Id:315180536340; 休眠电流:3.67uA; 接收电流:22.46mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:01:31 : Id:315180536700; 休眠电流:4.00uA; 接收电流:22.02mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:01:45 : Id:315180536189; 休眠电流:3.33uA; 接收电流:22.54mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:02:00 : Id:315180536559; 休眠电流:3.67uA; 接收电流:22.85mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:02:14 : Id:315180536406; 休眠电流:3.00uA; 接收电流:22.48mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:02:29 : Id:315180536651; 休眠电流:2.67uA; 接收电流:22.40mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:02:47 : Id:315180536299; 休眠电流:3.33uA; 接收电流:22.32mA; 电压:3.43V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:04 : Id:315180536348; 休眠电流:3.33uA; 接收电流:22.46mA; 电压:3.24V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:19 : Id:315180537802; 休眠电流:3.33uA; 接收电流:22.76mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:35 : Id:315180537302; 休眠电流:3.33uA; 接收电流:22.70mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:54 : Id:315180537764; 休眠电流:3.33uA; 接收电流:22.61mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:04:13 : Id:315180537554; 休眠电流:3.00uA; 接收电流:22.29mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:04:34 : Id:315180537559; 休眠电流:3.00uA; 接收电流:22.25mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:04:49 : Id:315180537920; 休眠电流:3.00uA; 接收电流:22.62mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:05:05 : Id:315180537797; 休眠电流:3.67uA; 接收电流:22.09mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:05:19 : Id:315180536119; 休眠电流:3.33uA; 接收电流:22.71mA; 电压:3.43V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:05:34 : Id:315180537310; 休眠电流:3.00uA; 接收电流:22.35mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:05:53 : Id:315180536248; 休眠电流:3.33uA; 接收电流:22.05mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:06:08 : Id:315180536679; 休眠电流:3.00uA; 接收电流:22.39mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:06:27 : Id:315180536390; 休眠电流:3.00uA; 接收电流:22.23mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:06:41 : Id:315180537167; 休眠电流:3.00uA; 接收电流:22.61mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:07:00 : Id:315180536261; 休眠电流:3.00uA; 接收电流:22.45mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:07:14 : Id:315180536484; 休眠电流:3.00uA; 接收电流:22.34mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:07:29 : Id:315180536663; 休眠电流:2.67uA; 接收电流:22.39mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:07:44 : Id:315180536637; 休眠电流:4.00uA; 接收电流:21.79mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:07:58 : Id:315180536223; 休眠电流:3.00uA; 接收电流:22.43mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:08:13 : Id:315180536706; 休眠电流:2.67uA; 接收电流:22.57mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:08:27 : Id:315180536273; 休眠电流:3.33uA; 接收电流:22.40mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:08:42 : Id:315180536192; 休眠电流:3.00uA; 接收电流:22.28mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:09:01 : Id:315180536310; 休眠电流:3.00uA; 接收电流:22.47mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:09:19 : Id:315180537290; 休眠电流:2.67uA; 接收电流:22.42mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:09:35 : Id:315180537199; 休眠电流:3.00uA; 接收电流:22.70mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:09:49 : Id:315180536120; 休眠电流:3.00uA; 接收电流:22.50mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:10:05 : Id:315180536669; 休眠电流:3.00uA; 接收电流:22.51mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:10:24 : Id:315180536238; 休眠电流:2.67uA; 接收电流:22.66mA; 电压:3.36V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:10:39 : Id:315180536687; 休眠电流:3.67uA; 接收电流:22.50mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:10:57 : Id:315180536572; 休眠电流:3.00uA; 接收电流:22.62mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:11:13 : Id:315180536514; 休眠电流:0.00uA; 接收电流:22.38mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   09:11:25 : Id:315180536514; 休眠电流:3.33uA; 接收电流:22.39mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:11:40 : Id:315180536241; 休眠电流:3.00uA; 接收电流:22.35mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:11:57 : Id:315180536588; 休眠电流:3.00uA; 接收电流:22.40mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:12:12 : Id:315180536409; 休眠电流:3.00uA; 接收电流:22.25mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:12:27 : Id:315180537230; 休眠电流:3.00uA; 接收电流:22.44mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:12:47 : Id:315180536338; 休眠电流:4.00uA; 接收电流:22.59mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:13:04 : Id:315180536599; 休眠电流:4.33uA; 接收电流:22.51mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:13:26 : Id:315180536151; 休眠电流:3.00uA; 接收电流:22.38mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:13:44 : Id:315180536567; 休眠电流:3.33uA; 接收电流:22.48mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:14:05 : Id:315180536469; 休眠电流:3.00uA; 接收电流:22.40mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:14:19 : Id:315180537293; 休眠电流:3.67uA; 接收电流:22.49mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:14:37 : Id:315180536281; 休眠电流:3.33uA; 接收电流:22.73mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:14:52 : Id:315180537288; 休眠电流:3.00uA; 接收电流:22.76mA; 电压:3.24V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:15:10 : Id:315180536182; 休眠电流:0.00uA; 接收电流:22.36mA; 电压:3.43V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   09:15:23 : Id:315180536182; 休眠电流:4.00uA; 接收电流:22.37mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:15:39 : Id:315180537552; 休眠电流:3.33uA; 接收电流:22.69mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:15:58 : Id:315180537774; 休眠电流:3.33uA; 接收电流:22.73mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:16:15 : Id:315180537409; 休眠电流:3.00uA; 接收电流:22.47mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:16:29 : Id:315180537546; 休眠电流:3.00uA; 接收电流:22.58mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:16:43 : Id:315180537493; 休眠电流:3.67uA; 接收电流:22.62mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:17:01 : Id:315180537329; 休眠电流:0.00uA; 接收电流:22.26mA; 电压:3.24V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   09:17:14 : Id:315180537329; 休眠电流:3.00uA; 接收电流:22.25mA; 电压:3.24V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:17:34 : Id:315180537747; 休眠电流:3.33uA; 接收电流:22.02mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:17:50 : Id:315180537791; 休眠电流:3.00uA; 接收电流:22.38mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:18:04 : Id:315180537597; 休眠电流:3.00uA; 接收电流:22.55mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:18:20 : Id:315180537837; 休眠电流:3.00uA; 接收电流:22.27mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:18:43 : Id:315180537266; 休眠电流:3.33uA; 接收电流:22.32mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:19:02 : Id:315180536206; 休眠电流:3.00uA; 接收电流:22.33mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:19:18 : Id:315180536445; 休眠电流:2.67uA; 接收电流:22.58mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:19:32 : Id:315180537502; 休眠电流:3.33uA; 接收电流:22.38mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:19:50 : Id:315180535198; 休眠电流:3.00uA; 接收电流:21.86mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:20:04 : Id:315180536967; 休眠电流:3.00uA; 接收电流:22.58mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:20:19 : Id:315180536963; 休眠电流:4.33uA; 接收电流:22.25mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:20:35 : Id:315180536966; 休眠电流:3.00uA; 接收电流:22.53mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:20:54 : Id:315180534776; 休眠电流:3.00uA; 接收电流:22.53mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:21:11 : Id:315180535675; 休眠电流:3.00uA; 接收电流:22.34mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:21:26 : Id:315180306629; 休眠电流:3.00uA; 接收电流:22.35mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:21:58 : Id:315180535379; 休眠电流:3.00uA; 接收电流:21.98mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
